goos: linux
goarch: amd64
pkg: github.com/yourusername/bolt/benchmarks
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkFull_Bolt_StaticRoute-8        	 4014303	       302.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_StaticRoute-8        	 3831052	       307.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_StaticRoute-8        	 3920036	       304.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_StaticRoute-8        	 3815572	       303.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_StaticRoute-8        	 3943543	       312.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Gin_StaticRoute-8         	 5452104	       227.5 ns/op	      40 B/op	       2 allocs/op
BenchmarkFull_Gin_StaticRoute-8         	 5117233	       220.7 ns/op	      40 B/op	       2 allocs/op
BenchmarkFull_Gin_StaticRoute-8         	 5288124	       222.4 ns/op	      40 B/op	       2 allocs/op
BenchmarkFull_Gin_StaticRoute-8         	 5204838	       222.6 ns/op	      40 B/op	       2 allocs/op
BenchmarkFull_Gin_StaticRoute-8         	 5318186	       238.8 ns/op	      40 B/op	       2 allocs/op
BenchmarkFull_Echo_StaticRoute-8        	 5297319	       232.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkFull_Echo_StaticRoute-8        	 5249122	       236.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkFull_Echo_StaticRoute-8        	 5177278	       236.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkFull_Echo_StaticRoute-8        	 4512039	       229.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkFull_Echo_StaticRoute-8        	 5203387	       239.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkFull_Fiber_StaticRoute-8       	  165325	      7528 ns/op	    5599 B/op	      23 allocs/op
BenchmarkFull_Fiber_StaticRoute-8       	  162106	      7651 ns/op	    5599 B/op	      23 allocs/op
BenchmarkFull_Fiber_StaticRoute-8       	  169654	      7555 ns/op	    5602 B/op	      23 allocs/op
BenchmarkFull_Fiber_StaticRoute-8       	  159410	      7623 ns/op	    5601 B/op	      23 allocs/op
BenchmarkFull_Fiber_StaticRoute-8       	  159404	      7983 ns/op	    5604 B/op	      23 allocs/op
BenchmarkFull_Bolt_DynamicRoute-8       	 1910941	       551.0 ns/op	      96 B/op	       4 allocs/op
BenchmarkFull_Bolt_DynamicRoute-8       	 2162378	       547.6 ns/op	      96 B/op	       4 allocs/op
BenchmarkFull_Bolt_DynamicRoute-8       	 2188694	       553.6 ns/op	      96 B/op	       4 allocs/op
BenchmarkFull_Bolt_DynamicRoute-8       	 2133441	       580.2 ns/op	      96 B/op	       4 allocs/op
BenchmarkFull_Bolt_DynamicRoute-8       	 2075436	       569.6 ns/op	      96 B/op	       4 allocs/op
BenchmarkFull_Gin_DynamicRoute-8        	 2614303	       475.5 ns/op	     160 B/op	       5 allocs/op
BenchmarkFull_Gin_DynamicRoute-8        	 2666125	       464.1 ns/op	     160 B/op	       5 allocs/op
BenchmarkFull_Gin_DynamicRoute-8        	 2503056	       485.1 ns/op	     160 B/op	       5 allocs/op
BenchmarkFull_Gin_DynamicRoute-8        	 2458783	       475.1 ns/op	     160 B/op	       5 allocs/op
BenchmarkFull_Gin_DynamicRoute-8        	 2589727	       466.3 ns/op	     160 B/op	       5 allocs/op
BenchmarkFull_Echo_DynamicRoute-8       	 2399018	       479.2 ns/op	     128 B/op	       4 allocs/op
BenchmarkFull_Echo_DynamicRoute-8       	 2516565	       498.3 ns/op	     128 B/op	       4 allocs/op
BenchmarkFull_Echo_DynamicRoute-8       	 2143676	       479.8 ns/op	     128 B/op	       4 allocs/op
BenchmarkFull_Echo_DynamicRoute-8       	 2533440	       483.8 ns/op	     128 B/op	       4 allocs/op
BenchmarkFull_Echo_DynamicRoute-8       	 2553762	       483.3 ns/op	     128 B/op	       4 allocs/op
BenchmarkFull_Fiber_DynamicRoute-8      	  143436	      8186 ns/op	    5776 B/op	      26 allocs/op
BenchmarkFull_Fiber_DynamicRoute-8      	  123613	      8719 ns/op	    5776 B/op	      26 allocs/op
BenchmarkFull_Fiber_DynamicRoute-8      	  152428	      8438 ns/op	    5778 B/op	      26 allocs/op
BenchmarkFull_Fiber_DynamicRoute-8      	  146446	      8499 ns/op	    5777 B/op	      26 allocs/op
BenchmarkFull_Fiber_DynamicRoute-8      	  148012	      8429 ns/op	    5778 B/op	      26 allocs/op
BenchmarkFull_Bolt_MiddlewareChain-8    	 3417374	       345.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_MiddlewareChain-8    	 3681532	       392.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_MiddlewareChain-8    	 2915218	       423.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_MiddlewareChain-8    	 2833018	       400.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_MiddlewareChain-8    	 2672702	       423.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Gin_MiddlewareChain-8     	 3119748	       426.9 ns/op	      32 B/op	       2 allocs/op
BenchmarkFull_Gin_MiddlewareChain-8     	 2703572	       394.2 ns/op	      32 B/op	       2 allocs/op
BenchmarkFull_Gin_MiddlewareChain-8     	 3200104	       403.5 ns/op	      32 B/op	       2 allocs/op
BenchmarkFull_Gin_MiddlewareChain-8     	 2984035	       417.3 ns/op	      32 B/op	       2 allocs/op
BenchmarkFull_Gin_MiddlewareChain-8     	 2984373	       399.4 ns/op	      32 B/op	       2 allocs/op
BenchmarkFull_Echo_MiddlewareChain-8    	 2107599	       539.5 ns/op	     128 B/op	       6 allocs/op
BenchmarkFull_Echo_MiddlewareChain-8    	 2146178	       531.5 ns/op	     128 B/op	       6 allocs/op
BenchmarkFull_Echo_MiddlewareChain-8    	 2419737	       551.5 ns/op	     128 B/op	       6 allocs/op
BenchmarkFull_Echo_MiddlewareChain-8    	 2104453	       523.1 ns/op	     128 B/op	       6 allocs/op
BenchmarkFull_Echo_MiddlewareChain-8    	 2170322	       566.6 ns/op	     128 B/op	       6 allocs/op
BenchmarkFull_Fiber_MiddlewareChain-8   	  127910	     10228 ns/op	    5594 B/op	      23 allocs/op
BenchmarkFull_Fiber_MiddlewareChain-8   	  113960	     10930 ns/op	    5592 B/op	      23 allocs/op
BenchmarkFull_Fiber_MiddlewareChain-8   	  106633	     11438 ns/op	    5594 B/op	      23 allocs/op
BenchmarkFull_Fiber_MiddlewareChain-8   	  106131	     11206 ns/op	    5594 B/op	      23 allocs/op
BenchmarkFull_Fiber_MiddlewareChain-8   	  105723	     11633 ns/op	    5595 B/op	      23 allocs/op
BenchmarkFull_Bolt_LargeJSON-8          	    5643	    208216 ns/op	    9789 B/op	     102 allocs/op
BenchmarkFull_Bolt_LargeJSON-8          	    5647	    203791 ns/op	    9777 B/op	     102 allocs/op
BenchmarkFull_Bolt_LargeJSON-8          	    6248	    200395 ns/op	    9855 B/op	     102 allocs/op
BenchmarkFull_Bolt_LargeJSON-8          	    5200	    205547 ns/op	    9785 B/op	     102 allocs/op
BenchmarkFull_Bolt_LargeJSON-8          	    6020	    200975 ns/op	    9781 B/op	     102 allocs/op
BenchmarkFull_Gin_LargeJSON-8           	    3000	    380388 ns/op	  123200 B/op	    2103 allocs/op
BenchmarkFull_Gin_LargeJSON-8           	    3362	    353591 ns/op	  123169 B/op	    2103 allocs/op
BenchmarkFull_Gin_LargeJSON-8           	    3727	    360492 ns/op	  123091 B/op	    2103 allocs/op
BenchmarkFull_Gin_LargeJSON-8           	    3326	    352954 ns/op	  123021 B/op	    2103 allocs/op
BenchmarkFull_Gin_LargeJSON-8           	    3156	    367100 ns/op	  123217 B/op	    2103 allocs/op
BenchmarkFull_Echo_LargeJSON-8          	    3692	    370213 ns/op	   73818 B/op	    2102 allocs/op
BenchmarkFull_Echo_LargeJSON-8          	    3616	    339607 ns/op	   73819 B/op	    2102 allocs/op
BenchmarkFull_Echo_LargeJSON-8          	    3924	    335936 ns/op	   73839 B/op	    2102 allocs/op
BenchmarkFull_Echo_LargeJSON-8          	    3465	    339629 ns/op	   73851 B/op	    2102 allocs/op
BenchmarkFull_Echo_LargeJSON-8          	    3834	    345369 ns/op	   73815 B/op	    2102 allocs/op
BenchmarkFull_Fiber_LargeJSON-8         	    3403	    429414 ns/op	  185986 B/op	    2127 allocs/op
BenchmarkFull_Fiber_LargeJSON-8         	    3147	    418191 ns/op	  186656 B/op	    2128 allocs/op
BenchmarkFull_Fiber_LargeJSON-8         	    3100	    414450 ns/op	  185791 B/op	    2127 allocs/op
BenchmarkFull_Fiber_LargeJSON-8         	    2824	    407115 ns/op	  186286 B/op	    2128 allocs/op
BenchmarkFull_Fiber_LargeJSON-8         	    2619	    413957 ns/op	  185777 B/op	    2127 allocs/op
BenchmarkFull_Bolt_QueryParams-8        	 1206748	       960.3 ns/op	     128 B/op	       3 allocs/op
BenchmarkFull_Bolt_QueryParams-8        	 1313462	       896.5 ns/op	     128 B/op	       3 allocs/op
BenchmarkFull_Bolt_QueryParams-8        	 1279171	       934.1 ns/op	     129 B/op	       3 allocs/op
BenchmarkFull_Bolt_QueryParams-8        	 1385872	       963.8 ns/op	     128 B/op	       3 allocs/op
BenchmarkFull_Bolt_QueryParams-8        	 1208755	       900.7 ns/op	     129 B/op	       3 allocs/op
BenchmarkFull_Gin_QueryParams-8         	  429090	      2846 ns/op	    1529 B/op	      19 allocs/op
BenchmarkFull_Gin_QueryParams-8         	  400488	      2850 ns/op	    1529 B/op	      19 allocs/op
BenchmarkFull_Gin_QueryParams-8         	  434553	      2786 ns/op	    1529 B/op	      19 allocs/op
BenchmarkFull_Gin_QueryParams-8         	  385274	      2975 ns/op	    1529 B/op	      19 allocs/op
BenchmarkFull_Gin_QueryParams-8         	  465922	      2850 ns/op	    1529 B/op	      19 allocs/op
BenchmarkFull_Echo_QueryParams-8        	  433962	      2690 ns/op	    1417 B/op	      17 allocs/op
BenchmarkFull_Echo_QueryParams-8        	  513950	      2723 ns/op	    1417 B/op	      17 allocs/op
BenchmarkFull_Echo_QueryParams-8        	  428779	      2728 ns/op	    1417 B/op	      17 allocs/op
BenchmarkFull_Echo_QueryParams-8        	  428162	      2835 ns/op	    1417 B/op	      17 allocs/op
BenchmarkFull_Echo_QueryParams-8        	  387334	      2818 ns/op	    1417 B/op	      17 allocs/op
BenchmarkFull_Fiber_QueryParams-8       	   99402	     13356 ns/op	    6361 B/op	      26 allocs/op
BenchmarkFull_Fiber_QueryParams-8       	   87795	     12889 ns/op	    6363 B/op	      26 allocs/op
BenchmarkFull_Fiber_QueryParams-8       	   90456	     12878 ns/op	    6364 B/op	      26 allocs/op
BenchmarkFull_Fiber_QueryParams-8       	   93524	     13104 ns/op	    6362 B/op	      26 allocs/op
BenchmarkFull_Fiber_QueryParams-8       	   94327	     13528 ns/op	    6361 B/op	      26 allocs/op
BenchmarkFull_Bolt_Concurrent-8         	 7191141	       191.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_Concurrent-8         	 6603469	       180.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_Concurrent-8         	 6627408	       190.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_Concurrent-8         	 5965659	       189.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_Concurrent-8         	 5424741	       193.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Gin_Concurrent-8          	 8912328	       139.4 ns/op	      40 B/op	       2 allocs/op
BenchmarkFull_Gin_Concurrent-8          	 8782284	       140.7 ns/op	      40 B/op	       2 allocs/op
BenchmarkFull_Gin_Concurrent-8          	 8591188	       139.9 ns/op	      40 B/op	       2 allocs/op
