goos: linux
goarch: amd64
pkg: github.com/yourusername/bolt/benchmarks
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkFull_Bolt_StaticRoute-8             	 3658897	       353.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_StaticRoute-8             	 3563386	       338.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_StaticRoute-8             	 3277130	       342.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_StaticRoute-8             	 3484620	       346.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_StaticRoute-8             	 3417570	       339.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Gin_StaticRoute-8              	 5212206	       238.8 ns/op	      40 B/op	       2 allocs/op
BenchmarkFull_Gin_StaticRoute-8              	 4995566	       239.3 ns/op	      40 B/op	       2 allocs/op
BenchmarkFull_Gin_StaticRoute-8              	 5016307	       237.0 ns/op	      40 B/op	       2 allocs/op
BenchmarkFull_Gin_StaticRoute-8              	 4813142	       236.6 ns/op	      40 B/op	       2 allocs/op
BenchmarkFull_Gin_StaticRoute-8              	 4661349	       247.5 ns/op	      40 B/op	       2 allocs/op
BenchmarkFull_Echo_StaticRoute-8             	 4727662	       263.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkFull_Echo_StaticRoute-8             	 4511500	       310.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkFull_Echo_StaticRoute-8             	 4015532	       305.7 ns/op	      48 B/op	       1 allocs/op
BenchmarkFull_Echo_StaticRoute-8             	 3780754	       308.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkFull_Echo_StaticRoute-8             	 3753456	       328.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkFull_Fiber_StaticRoute-8            	  149503	      9670 ns/op	    5598 B/op	      23 allocs/op
BenchmarkFull_Fiber_StaticRoute-8            	  120577	      9697 ns/op	    5598 B/op	      23 allocs/op
BenchmarkFull_Fiber_StaticRoute-8            	  123451	      9618 ns/op	    5598 B/op	      23 allocs/op
BenchmarkFull_Fiber_StaticRoute-8            	  118116	     10018 ns/op	    5599 B/op	      23 allocs/op
BenchmarkFull_Fiber_StaticRoute-8            	  110067	     10004 ns/op	    5602 B/op	      23 allocs/op
BenchmarkFull_Bolt_DynamicRoute-8            	 1578655	       773.7 ns/op	      96 B/op	       4 allocs/op
BenchmarkFull_Bolt_DynamicRoute-8            	 1457220	       814.3 ns/op	      96 B/op	       4 allocs/op
BenchmarkFull_Bolt_DynamicRoute-8            	 1510278	       937.5 ns/op	      96 B/op	       4 allocs/op
BenchmarkFull_Bolt_DynamicRoute-8            	 1541882	       785.7 ns/op	      96 B/op	       4 allocs/op
BenchmarkFull_Bolt_DynamicRoute-8            	 1413064	       910.2 ns/op	      96 B/op	       4 allocs/op
BenchmarkFull_Gin_DynamicRoute-8             	 2020076	       612.3 ns/op	     160 B/op	       5 allocs/op
BenchmarkFull_Gin_DynamicRoute-8             	 1964704	       600.0 ns/op	     160 B/op	       5 allocs/op
BenchmarkFull_Gin_DynamicRoute-8             	 2007508	       615.3 ns/op	     160 B/op	       5 allocs/op
BenchmarkFull_Gin_DynamicRoute-8             	 1863693	       610.2 ns/op	     160 B/op	       5 allocs/op
BenchmarkFull_Gin_DynamicRoute-8             	 1932996	       746.4 ns/op	     160 B/op	       5 allocs/op
BenchmarkFull_Echo_DynamicRoute-8            	 1865157	       711.4 ns/op	     128 B/op	       4 allocs/op
BenchmarkFull_Echo_DynamicRoute-8            	 1590746	       807.2 ns/op	     128 B/op	       4 allocs/op
BenchmarkFull_Echo_DynamicRoute-8            	 1731460	       682.9 ns/op	     128 B/op	       4 allocs/op
BenchmarkFull_Echo_DynamicRoute-8            	 1771357	       808.8 ns/op	     128 B/op	       4 allocs/op
BenchmarkFull_Echo_DynamicRoute-8            	 1898391	       630.3 ns/op	     128 B/op	       4 allocs/op
BenchmarkFull_Fiber_DynamicRoute-8           	  111412	     10827 ns/op	    5774 B/op	      26 allocs/op
BenchmarkFull_Fiber_DynamicRoute-8           	  107934	     11367 ns/op	    5774 B/op	      26 allocs/op
BenchmarkFull_Fiber_DynamicRoute-8           	  101946	     12199 ns/op	    5778 B/op	      26 allocs/op
BenchmarkFull_Fiber_DynamicRoute-8           	  102777	     12753 ns/op	    5778 B/op	      26 allocs/op
