goos: linux
goarch: amd64
pkg: github.com/yourusername/shockwave/pkg/shockwave/http11
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkPool_Standard_LowConcurrency-8   	282182156	         4.378 ns/op	       0 B/op	       0 allocs/op
BenchmarkPool_Standard_LowConcurrency-8   	269143189	         4.369 ns/op	       0 B/op	       0 allocs/op
BenchmarkPool_Standard_LowConcurrency-8   	280528060	         4.528 ns/op	       0 B/op	       0 allocs/op
BenchmarkPool_Standard_LowConcurrency-8   	271150545	         4.472 ns/op	       0 B/op	       0 allocs/op
BenchmarkPool_Standard_LowConcurrency-8   	273047667	         4.539 ns/op	       0 B/op	       0 allocs/op
BenchmarkPool_PerCPU_LowConcurrency-8     	23651568	        44.36 ns/op	       7 B/op	       0 allocs/op
BenchmarkPool_PerCPU_LowConcurrency-8     	25190841	        43.25 ns/op	       6 B/op	       0 allocs/op
BenchmarkPool_PerCPU_LowConcurrency-8     	26414226	        43.35 ns/op	       5 B/op	       0 allocs/op
BenchmarkPool_PerCPU_LowConcurrency-8     	24935884	        43.26 ns/op	       6 B/op	       0 allocs/op
BenchmarkPool_PerCPU_LowConcurrency-8     	25349930	        46.71 ns/op	       7 B/op	       0 allocs/op
BenchmarkPool_Standard_HighContention-8   	68803936	        17.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkPool_Standard_HighContention-8   	65561628	        17.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkPool_Standard_HighContention-8   	64979966	        17.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkPool_Standard_HighContention-8   	63748290	        19.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkPool_Standard_HighContention-8   	58139421	        21.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkPool_PerCPU_HighContention-8     	21352466	        54.81 ns/op	       4 B/op	       0 allocs/op
BenchmarkPool_PerCPU_HighContention-8     	20101388	        54.51 ns/op	       4 B/op	       0 allocs/op
BenchmarkPool_PerCPU_HighContention-8     	20457705	        52.66 ns/op	       5 B/op	       0 allocs/op
BenchmarkPool_PerCPU_HighContention-8     	21062294	        50.98 ns/op	       6 B/op	       0 allocs/op
BenchmarkPool_PerCPU_HighContention-8     	21022270	        49.63 ns/op	       4 B/op	       0 allocs/op
BenchmarkPool_Standard_MixedUsage-8       	 8096956	       139.9 ns/op	     777 B/op	       2 allocs/op
BenchmarkPool_Standard_MixedUsage-8       	 9096042	       135.6 ns/op	     992 B/op	       2 allocs/op
BenchmarkPool_Standard_MixedUsage-8       	 8993083	       122.6 ns/op	     681 B/op	       2 allocs/op
BenchmarkPool_Standard_MixedUsage-8       	 9099128	       112.5 ns/op	     869 B/op	       2 allocs/op
BenchmarkPool_Standard_MixedUsage-8       	10388754	       126.8 ns/op	     889 B/op	       2 allocs/op
BenchmarkPool_PerCPU_MixedUsage-8         	 6525679	       174.9 ns/op	    1060 B/op	       2 allocs/op
BenchmarkPool_PerCPU_MixedUsage-8         	 6934146	       187.7 ns/op	    1155 B/op	       2 allocs/op
BenchmarkPool_PerCPU_MixedUsage-8         	 6379692	       179.2 ns/op	    1046 B/op	       2 allocs/op
BenchmarkPool_PerCPU_MixedUsage-8         	 5923584	       189.8 ns/op	    1272 B/op	       2 allocs/op
BenchmarkPool_PerCPU_MixedUsage-8         	 6191912	       186.8 ns/op	    1553 B/op	       2 allocs/op
BenchmarkPool_Standard_RealisticHTTP-8    	55599604	        23.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkPool_Standard_RealisticHTTP-8    	48824882	        23.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkPool_Standard_RealisticHTTP-8    	49410048	        23.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkPool_Standard_RealisticHTTP-8    	49532907	        25.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkPool_Standard_RealisticHTTP-8    	50942395	        24.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkPool_PerCPU_RealisticHTTP-8      	17377760	        60.22 ns/op	       4 B/op	       0 allocs/op
BenchmarkPool_PerCPU_RealisticHTTP-8      	17937878	        61.16 ns/op	       4 B/op	       0 allocs/op
BenchmarkPool_PerCPU_RealisticHTTP-8      	18743114	        62.30 ns/op	       4 B/op	       0 allocs/op
BenchmarkPool_PerCPU_RealisticHTTP-8      	17589952	        58.46 ns/op	       6 B/op	       0 allocs/op
BenchmarkPool_PerCPU_RealisticHTTP-8      	18034365	        61.86 ns/op	       4 B/op	       0 allocs/op
BenchmarkPool_PerCPU_WithWarmup-8         	22346113	        48.38 ns/op	       5 B/op	       0 allocs/op
BenchmarkPool_PerCPU_WithWarmup-8         	25012321	        49.26 ns/op	       5 B/op	       0 allocs/op
BenchmarkPool_PerCPU_WithWarmup-8         	22263511	        47.22 ns/op	       5 B/op	       0 allocs/op
BenchmarkPool_PerCPU_WithWarmup-8         	23770050	        49.62 ns/op	       6 B/op	       0 allocs/op
