goos: linux
goarch: amd64
pkg: github.com/yourusername/shockwave/pkg/shockwave/http11
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkComparison_ParseSimpleGET_Shockwave-8         	 1922374	       684.5 ns/op	 113.95 MB/s	      32 B/op	       1 allocs/op
BenchmarkComparison_ParseSimpleGET_Shockwave-8         	  686114	      1545 ns/op	  50.49 MB/s	      32 B/op	       1 allocs/op
BenchmarkComparison_ParseSimpleGET_Shockwave-8         	  360544	      3056 ns/op	  25.53 MB/s	      32 B/op	       1 allocs/op
BenchmarkComparison_ParseSimpleGET_NetHTTP-8           	   62642	     20604 ns/op	   3.79 MB/s	    5185 B/op	      11 allocs/op
BenchmarkComparison_ParseSimpleGET_NetHTTP-8           	   70482	     14980 ns/op	   5.21 MB/s	    5185 B/op	      11 allocs/op
BenchmarkComparison_ParseSimpleGET_NetHTTP-8           	   88916	     14124 ns/op	   5.52 MB/s	    5185 B/op	      11 allocs/op
BenchmarkComparison_ParsePOST_Shockwave-8              	  343546	      4894 ns/op	  25.34 MB/s	      88 B/op	       3 allocs/op
BenchmarkComparison_ParsePOST_Shockwave-8              	  206174	      6705 ns/op	  18.49 MB/s	      88 B/op	       3 allocs/op
BenchmarkComparison_ParsePOST_Shockwave-8              	  268330	      6619 ns/op	  18.73 MB/s	      88 B/op	       3 allocs/op
BenchmarkComparison_ParsePOST_NetHTTP-8                	   45936	     22498 ns/op	   5.51 MB/s	    5281 B/op	      14 allocs/op
BenchmarkComparison_ParsePOST_NetHTTP-8                	   56360	     26148 ns/op	   4.74 MB/s	    5281 B/op	      14 allocs/op
BenchmarkComparison_ParsePOST_NetHTTP-8                	   55822	     20521 ns/op	   6.04 MB/s	    5281 B/op	      14 allocs/op
BenchmarkComparison_ParseMultipleHeaders_Shockwave-8   	  150926	      9112 ns/op	  32.48 MB/s	      32 B/op	       1 allocs/op
BenchmarkComparison_ParseMultipleHeaders_Shockwave-8   	  204260	      4937 ns/op	  59.96 MB/s	      32 B/op	       1 allocs/op
